Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
Administrative assistant suffered other to the chest while supervision with radiation in education.,Low,Other due to Radiation during Supervision,"Administrative Assistant, Other, Chest, Radiation, Supervision, Education",
Administrative assistant suffered concussion to the multiple parts while clerical with liquid in education.,Medium,Concussion due to Liquid during Clerical,"Administrative Assistant, Concussion, Multiple Parts, Liquid, Clerical, Education",
Manager suffered concussion to the multiple parts while performance with staircase in packing.,Medium,Concussion due to Staircase during Performance,"Manager, Concussion, Multiple Parts, Staircase, Performance, Packaging",
Medical assistant suffered poisoning to the multiple parts while other food with liquid in insurance.,Medium,Poisoning due to Liquid during Other Food,"Medical Assistant, Poisoning, Multiple Parts, Liquid, Other Food, Insurance",
Stock clerk suffered poisoning to the multiple parts while law enforcement with fall in other manufacturing.,Medium,Poisoning due to Fall during Law Enforcement,"Stock Clerk, Poisoning, Multiple Parts, Fall, Law Enforcement, Other Manufacturing",
Machine operator suffered seizure to the toe while clerical with machine in food service.,Medium,"Seizure caused by machine, during clerical, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Machine, Clerical, Food Service",
Police officer suffered concussion to the multiple parts while unknown with fame in other manufacturing.,Medium,Concussion due to Fume during Unknown,"Police Officer, Concussion, Multiple Parts, Fume, Unknown, Other Manufacturing",
Administrative assistant suffered concussion to the multiple parts while clerical with gas in education.,Medium,Concussion due to Gas during Clerical,"Administrative Assistant, Concussion, Multiple Parts, Gas, Clerical, Education",
Office clerk suffered seizure to the toe while therapy with vehicle in construction.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Office clerk)","Office Clerk, Seizure, Toe, Vehicle, Therapy, Construction",
Manager suffered concussion to the multiple parts while other food with liquid in miscellaneous.,Medium,Concussion due to Liquid during Other Food,"Manager, Concussion, Multiple Parts, Liquid, Other Food, Miscellaneous",
Landscape suffered poisoning to the multiple parts while cleaning with gas in education.,Medium,Poisoning due to Gas during Cleaning,"Landscaper, Poisoning, Multiple Parts, Gas, Cleaning, Education",
Program coordinate suffered other to the tarso while cleaning with gas in miscellaneous.,Low,Other due to Gas during Cleaning,"Program Coordinator, Other, Torso, Gas, Cleaning, Miscellaneous",
Machine operator suffered amputation to the neck while clerical with gas in food service.,High,Amputation due to Gas during Clerical,"Machine Operator, Amputation, Neck, Gas, Clerical, Food Service",
Manager suffered seizure to the toe while testing with machine in other manufacturing.,Medium,"Seizure caused by machine, during testing, affecting the toe, (Manager)","Manager, Seizure, Toe, Machine, Testing, Other Manufacturing",
Manager suffered concussion to the multiple parts while production with gas in accommodation.,Medium,Concussion due to Gas during Production,"Manager, Concussion, Multiple Parts, Gas, Production, Accommodation",
Firefighter suffered amputation to the neck while cleaning with gas in excavation.,High,Amputation due to Gas during Cleaning,"Firefighter, Amputation, Neck, Gas, Cleaning, Excavation",
Data entry clerk suffered internal injury to the arm while other public safety with gas in insurance.,High,Internal Injury due to Gas during Other Public Safety,"Data Entry Clerk, Internal Injury, Arm, Gas, Other Public Safety, Insurance",
Data entry clerk suffered concussion to the multiple parts while quality control with other radiation in excavation.,Medium,Concussion due to Other Radiation during Quality Control,"Data Entry Clerk, Concussion, Multiple Parts, Other Radiation, Quality Control, Excavation",
Manager suffered seizure to the toe while law enforcement with vehicle in pharmacy.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Manager)","Manager, Seizure, Toe, Vehicle, Law Enforcement, Pharmacy",
Manager suffered seizure to the toe while customer service with other vehicle in other services.,Medium,"Seizure caused by other vehicle, during customer service, affecting the toe, (Manager)","Manager, Seizure, Toe, Other Vehicle, Customer Service, Other Services",
Machine operator suffered seizure to the toe while clerical with vehicle in packing.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Machine operator)","Machine Operator, Seizure, Toe, Vehicle, Clerical, Packaging",
Older suffered sprain/strain to the neck while clerical with gas in healthcare.,Medium,Sprain/Strain due to Gas during Clerical,"Molder, Sprain/Strain, Neck, Gas, Clerical, Healthcare",
Custodian suffered seizure to the toe while other medical with vehicle in food service.,Medium,"Seizure caused by vehicle, during other medical, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Vehicle, Other Medical, Food Service",
Data entry clerk suffered concussion to the multiple parts while other office with fire in insurance.,Medium,Concussion due to Fire during Other Office,"Data Entry Clerk, Concussion, Multiple Parts, Fire, Other Office, Insurance",
Administrative assistant suffered amputation to the neck while planning with liquid in education.,High,Amputation due to Liquid during Planning,"Administrative Assistant, Amputation, Neck, Liquid, Planning, Education",
Assembled suffered amputation to the neck while office work with liquid in accommodation.,High,Amputation due to Liquid during Office Work,"Assembler, Amputation, Neck, Liquid, Office Work, Accommodation",
Dentist suffered asphyxia to the tarso while cleaning with electrical equipment in other manufacturing.,High,Asphyxia due to Electrical Equipment during Cleaning,"Dentist, Asphyxia, Torso, Electrical Equipment, Cleaning, Other Manufacturing",
Office clerk suffered other to the tarso while clerical with other chemical in tourism.,Low,Other due to Other Chemical during Clerical,"Office Clerk, Other, Torso, Other Chemical, Clerical, Tourism",
Older suffered amputation to the neck while clerical with customer in education.,High,Amputation due to Customer during Clerical,"Molder, Amputation, Neck, Customer, Clerical, Education",
Administrative assistant suffered concussion to the multiple parts while sales with liquid in education.,Medium,Concussion due to Liquid during Sales,"Administrative Assistant, Concussion, Multiple Parts, Liquid, Sales, Education",
Administrative assistant suffered internal injury to the hand while clerical with liquid in education.,High,Internal Injury due to Liquid during Clerical,"Administrative Assistant, Internal Injury, Hand, Liquid, Clerical, Education",
Forklift operator suffered internal injury to the neck while other transport with liquid in wholesale.,High,Internal Injury due to Liquid during Other Transport,"Forklift Operator, Internal Injury, Neck, Liquid, Other Transport, Wholesale",
Mile clerk suffered seizure to the toe while receiving with vehicle in other manufacturing.,Medium,"Seizure caused by vehicle, during receiving, affecting the toe, (Mile clerk)","File Clerk, Seizure, Toe, Vehicle, Receiving, Other Manufacturing",
Quality control suffered seizure to the toe while therapy with vehicle in other manufacturing.,Medium,"Seizure caused by vehicle, during therapy, affecting the toe, (Quality control)","Quality Control, Seizure, Toe, Vehicle, Therapy, Other Manufacturing",
Forklift operator suffered seizure to the toe while other transport with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during other transport, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Other Transport, Wholesale",
Older suffered other to the multiple parts while clerical with gas in education.,Low,Other due to Gas during Clerical,"Molder, Other, Multiple Parts, Gas, Clerical, Education",
Older suffered internal injury to the shoulder while law enforcement with gas in construction.,High,Internal Injury due to Gas during Law Enforcement,"Molder, Internal Injury, Shoulder, Gas, Law Enforcement, Construction",
Monitor suffered crushing to the shoulder while education with gas in public admit.,High,Crushing due to Gas during Education,"Janitor, Crushing, Shoulder, Gas, Education, Public Admin",
Warehouse worker suffered seizure to the toe while clerical with vehicle in food service.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Warehouse worker)","Warehouse Worker, Seizure, Toe, Vehicle, Clerical, Food Service",
Program coordinate suffered internal injury to the hand while data entry with gas in education.,High,Internal Injury due to Gas during Data Entry,"Program Coordinator, Internal Injury, Hand, Gas, Data Entry, Education",
Data entry clerk suffered amputation to the neck while law enforcement with steam in insurance.,High,Amputation due to Steam during Law Enforcement,"Data Entry Clerk, Amputation, Neck, Steam, Law Enforcement, Insurance",
Forklift operator suffered concussion to the multiple parts while other education with gas in wholesale.,Medium,Concussion due to Gas during Other Education,"Forklift Operator, Concussion, Multiple Parts, Gas, Other Education, Wholesale",
Administrative assistant suffered seizure to the toe while serving with machine in education.,Medium,"Seizure caused by machine, during serving, affecting the toe, (Administrative assistant)","Administrative Assistant, Seizure, Toe, Machine, Serving, Education",
Manager suffered amputation to the neck while desolation with other building in manufacturing.,High,Amputation due to Other Building during Demolition,"Manager, Amputation, Neck, Other Building, Demolition, Manufacturing",
Custodian suffered seizure to the toe while other office with machine in food service.,Medium,"Seizure caused by machine, during other office, affecting the toe, (Custodian)","Custodian, Seizure, Toe, Machine, Other Office, Food Service",
Program coordinate suffered seizure to the toe while surgery with vehicle in education.,Medium,"Seizure caused by vehicle, during surgery, affecting the toe, (Program coordinate)","Program Coordinator, Seizure, Toe, Vehicle, Surgery, Education",
Forklift operator suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,"Seizure caused by vehicle, during law enforcement, affecting the toe, (Forklift operator)","Forklift Operator, Seizure, Toe, Vehicle, Law Enforcement, Wholesale",
Package suffered seizure to the toe while clerical with vehicle in food service.,Medium,"Seizure caused by vehicle, during clerical, affecting the toe, (Package)","Packager, Seizure, Toe, Vehicle, Clerical, Food Service",
