Scenario,Risk_Level,Cause_of_Accident,Keywords
Manager suffered other to the torso while waste disposal with radiation in legal.,Medium,Other due to Radiation during Waste Disposal,"Manager, Other, Torso, Radiation, Waste Disposal, Legal"
Manager suffered amputation to the neck while serving with steam in banking.,High,Amputation due to Steam during Serving,"Manager, Amputation, Neck, Steam, Serving, Banking"
Nurse suffered concussion to the multiple parts while hvac with saw in packaging.,Medium,Concussion due to Saw during HVAC,"Nurse, Concussion, Multiple Parts, Saw, HVAC, Packaging"
Stock clerk suffered heart attack to the torso while security with radiation in retail.,Medium,Heart Attack due to Radiation during Security,"Stock Clerk, Heart Attack, Torso, Radiation, Security, Retail"
Delivery driver suffered concussion to the multiple parts while planning with furniture in roofing.,Medium,Concussion due to Furniture during Planning,"Delivery Driver, Concussion, Multiple Parts, Furniture, Planning, Roofing"
Director suffered concussion to the multiple parts while other office with monitor in legal.,Low,Concussion due to Monitor during Other Office,"Director, Concussion, Multiple Parts, Monitor, Other Office, Legal"
Nurse suffered chemical burn to the multiple parts while other office with floor in banking.,Medium,Chemical Burn due to Floor during Other Office,"Nurse, Chemical Burn, Multiple Parts, Floor, Other Office, Banking"
Records clerk suffered occupational disease to the multiple parts while sales with unknown in medical.,High,Occupational Disease due to Unknown during Sales,"Records Clerk, Occupational Disease, Multiple Parts, Unknown, Sales, Medical"
Molder suffered sprain/strain to the neck while education with gas in construction.,Low,Sprain/Strain due to Gas during Education,"Molder, Sprain/Strain, Neck, Gas, Education, Construction"
Landscaper suffered crushing to the finger while clerical with gas in roofing.,High,Crushing due to Gas during Clerical,"Landscaper, Crushing, Finger, Gas, Clerical, Roofing"
Manager suffered other to the chest while data entry with radiation in construction.,Low,Other due to Radiation during Data Entry,"Manager, Other, Chest, Radiation, Data Entry, Construction"
Manager suffered amputation to the neck while other entertainment with escalator in excavation.,Medium,Amputation due to Escalator during Other Entertainment,"Manager, Amputation, Neck, Escalator, Other Entertainment, Excavation"
Landscaper suffered other to the torso while data entry with other structure in assembly.,Low,Other due to Other Structure during Data Entry,"Landscaper, Other, Torso, Other Structure, Data Entry, Assembly"
Manager suffered cut/laceration to the hip while serving with supervisor in manufacturing.,Low,Cut/Laceration due to Supervisor during Serving,"Manager, Cut/Laceration, Hip, Supervisor, Serving, Manufacturing"
Manager suffered other to the multiple parts while serving with supervisor in manufacturing.,High,Other due to Supervisor during Serving,"Manager, Other, Multiple Parts, Supervisor, Serving, Manufacturing"
Manager suffered other to the multiple parts while serving with supervisor in manufacturing.,High,Other due to Supervisor during Serving,"Manager, Other, Multiple Parts, Supervisor, Serving, Manufacturing"
Stock clerk suffered amputation to the neck while clerical with hammer in retail.,Low,Amputation due to Hammer during Clerical,"Stock Clerk, Amputation, Neck, Hammer, Clerical, Retail"
Manager suffered amputation to the neck while office work with escalator in other extraction.,Medium,Amputation due to Escalator during Office Work,"Manager, Amputation, Neck, Escalator, Office Work, Other Extraction"
Program coordinator suffered other to the torso while data entry with bucket in assembly.,Low,Other due to Bucket during Data Entry,"Program Coordinator, Other, Torso, Bucket, Data Entry, Assembly"
Manager suffered concussion to the multiple parts while waste disposal with wall in manufacturing.,High,Concussion due to Wall during Waste Disposal,"Manager, Concussion, Multiple Parts, Wall, Waste Disposal, Manufacturing"
Manager suffered other to the torso while other transport with other building in legal.,Low,Other due to Other Building during Other Transport,"Manager, Other, Torso, Other Building, Other Transport, Legal"
Landscaper suffered amputation to the neck while packaging with trash in manufacturing.,Medium,Amputation due to Trash during Packaging,"Landscaper, Amputation, Neck, Trash, Packaging, Manufacturing"
Engineer suffered no injury to the unknown while data entry with electricity in legal.,High,No Injury due to Electricity during Data Entry,"Engineer, No Injury, Unknown, Electricity, Data Entry, Legal"
Packager suffered seizure to the toe while clerical with tool in food service.,Low,Seizure due to Tool during Clerical,"Packager, Seizure, Toe, Tool, Clerical, Food Service"
Molder suffered fatal injury to the toe while pharmacy with equipment in demolition.,High,Fatal Injury due to Equipment during Pharmacy,"Molder, Fatal Injury, Toe, Equipment, Pharmacy, Demolition"
Manager suffered other to the torso while other office with radiation in miscellaneous.,High,Other due to Radiation during Other Office,"Manager, Other, Torso, Radiation, Other Office, Miscellaneous"
Dentist suffered multiple injuries to the neck while cleaning with gas in miscellaneous.,Medium,Multiple Injuries due to Gas during Cleaning,"Dentist, Multiple Injuries, Neck, Gas, Cleaning, Miscellaneous"
Records clerk suffered multiple injuries to the neck while clerical with steam in education.,Medium,Multiple Injuries due to Steam during Clerical,"Records Clerk, Multiple Injuries, Neck, Steam, Clerical, Education"
Manager suffered concussion to the multiple parts while security with radiation in legal.,Medium,Concussion due to Radiation during Security,"Manager, Concussion, Multiple Parts, Radiation, Security, Legal"
Foreman suffered concussion to the multiple parts while serving with other liquid in government.,High,Concussion due to Other Liquid during Serving,"Foreman, Concussion, Multiple Parts, Other Liquid, Serving, Government"
Stock clerk suffered concussion to the multiple parts while data entry with other opening in retail.,Low,Concussion due to Other Opening during Data Entry,"Stock Clerk, Concussion, Multiple Parts, Other Opening, Data Entry, Retail"
Architect suffered multiple injuries to the neck while excavation with other opening in packaging.,High,Multiple Injuries due to Other Opening during Excavation,"Architect, Multiple Injuries, Neck, Other Opening, Excavation, Packaging"
Pharmacist suffered other to the multiple parts while plumbing with hand tool in consulting.,Medium,Other due to Hand Tool during Plumbing,"Pharmacist, Other, Multiple Parts, Hand Tool, Plumbing, Consulting"
Records clerk suffered multiple injuries to the neck while clerical with gate in unknown.,Low,Multiple Injuries due to Gate during Clerical,"Records Clerk, Multiple Injuries, Neck, Gate, Clerical, Unknown"
Manager suffered seizure to the toe while surgery with vehicle in education.,Low,Seizure due to Vehicle during Surgery,"Manager, Seizure, Toe, Vehicle, Surgery, Education"
Data entry clerk suffered other to the torso while law enforcement with forklift in miscellaneous.,Medium,Other due to Forklift during Law Enforcement,"Data Entry Clerk, Other, Torso, Forklift, Law Enforcement, Miscellaneous"
Pharmacist suffered other to the torso while plumbing with hand tool in legal.,High,Other due to Hand Tool during Plumbing,"Pharmacist, Other, Torso, Hand Tool, Plumbing, Legal"
Molder suffered concussion to the multiple parts while clerical with liquid in excavation.,Medium,Concussion due to Liquid during Clerical,"Molder, Concussion, Multiple Parts, Liquid, Clerical, Excavation"
Production worker suffered amputation to the neck while therapy with gas in tourism.,High,Amputation due to Gas during Therapy,"Production Worker, Amputation, Neck, Gas, Therapy, Tourism"
Technician suffered concussion to the multiple parts while supervision with other energy in other tech.,Low,Concussion due to Other Energy during Supervision,"Technician, Concussion, Multiple Parts, Other Energy, Supervision, Other Tech"
Manager suffered amputation to the neck while clerical with gas in healthcare.,Medium,Amputation due to Gas during Clerical,"Manager, Amputation, Neck, Gas, Clerical, Healthcare"
Scientist suffered other to the torso while excavation with trash in legal.,High,Other due to Trash during Excavation,"Scientist, Other, Torso, Trash, Excavation, Legal"
Manager suffered poisoning to the neck while pharmacy with liquid in demolition.,Medium,Poisoning due to Liquid during Pharmacy,"Manager, Poisoning, Neck, Liquid, Pharmacy, Demolition"
Molder suffered internal injury to the hand while roofing with person in healthcare.,High,Internal Injury due to Person during Roofing,"Molder, Internal Injury, Hand, Person, Roofing, Healthcare"
Manager suffered concussion to the multiple parts while law enforcement with wrench in accommodation.,Low,Concussion due to Wrench during Law Enforcement,"Manager, Concussion, Multiple Parts, Wrench, Law Enforcement, Accommodation"
Forklift operator suffered internal injury to the hand while customer service with gas in wholesale.,High,Internal Injury due to Gas during Customer Service,"Forklift Operator, Internal Injury, Hand, Gas, Customer Service, Wholesale"
Data entry clerk suffered other to the multiple parts while supervision with chair in insurance.,Medium,Other due to Chair during Supervision,"Data Entry Clerk, Other, Multiple Parts, Chair, Supervision, Insurance"
Molder suffered amputation to the neck while education with gas in construction.,Low,Amputation due to Gas during Education,"Molder, Amputation, Neck, Gas, Education, Construction"
Maintenance worker suffered poisoning to the toe while teaching with gas in roofing.,High,Poisoning due to Gas during Teaching,"Maintenance Worker, Poisoning, Toe, Gas, Teaching, Roofing"
Gardener suffered other to the multiple parts while clerical with other opening in retail.,Low,Other due to Other Opening during Clerical,"Gardener, Other, Multiple Parts, Other Opening, Clerical, Retail"
Data entry clerk suffered amputation to the neck while data entry with escalator in insurance.,Medium,Amputation due to Escalator during Data Entry,"Data Entry Clerk, Amputation, Neck, Escalator, Data Entry, Insurance"
Construction laborer suffered other to the torso while other maintenance with gas in demolition.,Low,Other due to Gas during Other Maintenance,"Construction Laborer, Other, Torso, Gas, Other Maintenance, Demolition"
Administrative assistant suffered concussion to the multiple parts while unknown with gas in education.,Medium,Concussion due to Gas during Unknown,"Administrative Assistant, Concussion, Multiple Parts, Gas, Unknown, Education"
Manager suffered no injury to the unknown while teaching with gas in assembly.,Low,No Injury due to Gas during Teaching,"Manager, No Injury, Unknown, Gas, Teaching, Assembly"
Manager suffered concussion to the multiple parts while cleaning with gas in insurance.,Medium,Concussion due to Gas during Cleaning,"Manager, Concussion, Multiple Parts, Gas, Cleaning, Insurance"
Stock clerk suffered other to the torso while clerical with radiation in retail.,Medium,Other due to Radiation during Clerical,"Stock Clerk, Other, Torso, Radiation, Clerical, Retail"
Quality control suffered concussion to the multiple parts while clerical with cabinet in miscellaneous.,High,Concussion due to Cabinet during Clerical,"Quality Control, Concussion, Multiple Parts, Cabinet, Clerical, Miscellaneous"
Assembler suffered concussion to the multiple parts while teaching with gas in accommodation.,Medium,Concussion due to Gas during Teaching,"Assembler, Concussion, Multiple Parts, Gas, Teaching, Accommodation"
Landscaper suffered multiple injuries to the arm while receiving with gas in education.,Low,Multiple Injuries due to Gas during Receiving,"Landscaper, Multiple Injuries, Arm, Gas, Receiving, Education"
Manager suffered shock to the multiple parts while law enforcement with fume in construction.,Medium,Shock due to Fume during Law Enforcement,"Manager, Shock, Multiple Parts, Fume, Law Enforcement, Construction"
Nurse suffered other to the multiple parts while welding with wall in packaging.,Low,Other due to Wall during Welding,"Nurse, Other, Multiple Parts, Wall, Welding, Packaging"
Security guard suffered concussion to the multiple parts while data entry with bucket in unknown.,Low,Concussion due to Bucket during Data Entry,"Security Guard, Concussion, Multiple Parts, Bucket, Data Entry, Unknown"
Social worker suffered other to the multiple parts while training with wall in construction.,High,Other due to Wall during Training,"Social Worker, Other, Multiple Parts, Wall, Training, Construction"
Secretary suffered other to the torso while manufacturing with other tool in assembly.,Low,Other due to Other Tool during Manufacturing,"Secretary, Other, Torso, Other Tool, Manufacturing, Assembly"
Truck driver suffered amputation to the neck while other transport with gas in miscellaneous.,Medium,Amputation due to Gas during Other Transport,"Truck Driver, Amputation, Neck, Gas, Other Transport, Miscellaneous"
Manager suffered other to the torso while security with window in miscellaneous.,Medium,Other due to Window during Security,"Manager, Other, Torso, Window, Security, Miscellaneous"
Machine operator suffered concussion to the multiple parts while clerical with gas in food service.,Low,Concussion due to Gas during Clerical,"Machine Operator, Concussion, Multiple Parts, Gas, Clerical, Food Service"
Roofer suffered concussion to the multiple parts while cleaning with gas in it services.,Medium,Concussion due to Gas during Cleaning,"Roofer, Concussion, Multiple Parts, Gas, Cleaning, IT Services"
Manager suffered other to the torso while packaging with wrench in construction.,Low,Other due to Wrench during Packaging,"Manager, Other, Torso, Wrench, Packaging, Construction"
Administrative assistant suffered concussion to the multiple parts while other cleaning with machine in education.,Medium,Concussion due to Machine during Other Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Machine, Other Cleaning, Education"
Administrative assistant suffered no injury to the unknown while clerical with gas in education.,Medium,No Injury due to Gas during Clerical,"Administrative Assistant, No Injury, Unknown, Gas, Clerical, Education"
Toolmaker suffered poisoning to the multiple parts while pharmacy with dust in medical.,Medium,Poisoning due to Dust during Pharmacy,"Toolmaker, Poisoning, Multiple Parts, Dust, Pharmacy, Medical"
Production worker suffered concussion to the multiple parts while data entry with liquid in miscellaneous.,Medium,Concussion due to Liquid during Data Entry,"Production Worker, Concussion, Multiple Parts, Liquid, Data Entry, Miscellaneous"
Program coordinator suffered concussion to the multiple parts while education with cold in roofing.,High,Concussion due to Cold during Education,"Program Coordinator, Concussion, Multiple Parts, Cold, Education, Roofing"
Administrative assistant suffered seizure to the toe while nursing with vehicle in education.,High,Seizure due to Vehicle during Nursing,"Administrative Assistant, Seizure, Toe, Vehicle, Nursing, Education"
Administrative assistant suffered crushing to the shoulder while entertainment with vehicle in education.,Medium,Crushing due to Vehicle during Entertainment,"Administrative Assistant, Crushing, Shoulder, Vehicle, Entertainment, Education"
Pharmacist suffered amputation to the neck while receiving with wrench in legal.,Medium,Amputation due to Wrench during Receiving,"Pharmacist, Amputation, Neck, Wrench, Receiving, Legal"
Molder suffered concussion to the multiple parts while education with steam in construction.,Medium,Concussion due to Steam during Education,"Molder, Concussion, Multiple Parts, Steam, Education, Construction"
Administrative assistant suffered concussion to the multiple parts while nursing with gas in education.,Medium,Concussion due to Gas during Nursing,"Administrative Assistant, Concussion, Multiple Parts, Gas, Nursing, Education"
Doctor suffered cut/laceration to the ankle while plumbing with saw in construction.,High,Cut/Laceration due to Saw during Plumbing,"Doctor, Cut/Laceration, Ankle, Saw, Plumbing, Construction"
Shipping clerk suffered concussion to the multiple parts while cleaning with gas in retail.,Low,Concussion due to Gas during Cleaning,"Shipping Clerk, Concussion, Multiple Parts, Gas, Cleaning, Retail"
Manager suffered amputation to the neck while other food with gas in construction.,High,Amputation due to Gas during Other Food,"Manager, Amputation, Neck, Gas, Other Food, Construction"
Professor suffered other to the unknown while packaging with wire in packaging.,High,Other due to Wire during Packaging,"Professor, Other, Unknown, Wire, Packaging"
Manager suffered amputation to the shoulder while clerical with steam in education.,Medium,Amputation due to Steam during Clerical,"Manager, Amputation, Shoulder, Steam, Clerical, Education"
Manager suffered heart attack to the toe while security with radiation in construction.,Medium,Heart Attack due to Radiation during Security,"Manager, Heart Attack, Toe, Radiation, Security, Construction"
Machine operator suffered poisoning to the multiple parts while management with steam in police.,High,Poisoning due to Steam during Management,"Machine Operator, Poisoning, Multiple Parts, Steam, Management, Police"
Gardener suffered concussion to the multiple parts while cleaning with crane in other manufacturing.,Medium,Concussion due to Crane during Cleaning,"Gardener, Concussion, Multiple Parts, Crane, Cleaning, Other Manufacturing"
Manager suffered internal injury to the shoulder while medical with window in public administration.,High,Internal Injury due to Window during Medical,"Manager, Internal Injury, Shoulder, Window, Medical, Public Administration"
Administrative assistant suffered shock to the multiple parts while other office with gas in education.,High,Shock due to Gas during Other Office,"Administrative Assistant, Shock, Multiple Parts, Gas, Other Office, Education"
Forklift operator suffered multiple injuries to the shoulder while excavation with dust in wholesale.,Medium,Multiple Injuries due to Dust during Excavation,"Forklift Operator, Multiple Injuries, Shoulder, Dust, Excavation, Wholesale"
Janitor suffered amputation to the shoulder while clerical with heat in education.,High,Amputation due to Heat during Clerical,"Janitor, Amputation, Shoulder, Heat, Clerical, Education"
Records clerk suffered shock to the multiple parts while masonry with coworker in manufacturing.,Medium,Shock due to Coworker during Masonry,"Records Clerk, Shock, Multiple Parts, Coworker, Masonry, Manufacturing"
Manager suffered multiple injuries to the shoulder while pharmacy with rock in education.,Low,Multiple Injuries due to Rock during Pharmacy,"Manager, Multiple Injuries, Shoulder, Rock, Pharmacy, Education"
